System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.evernote.edam.type","PremiumInfo","PremiumInfo",1,16,91,25,3402.97,0.14,0,0,8,25,7,1,8.05,0,0,0,0,40,0,14,0,0,422.59,51
"No System Name","com.evernote.edam.type","PremiumOrderStatus","PremiumOrderStatus",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.edam.type","PrivilegeLevel","PrivilegeLevel",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.edam.userstore","PublicUserInfo","PublicUserInfo",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.userstore","PublicUserInfo","PublicUserInfo",6,13,105,26,4273.07,0.16,2,6,0,19,1,1,8.66,0,0,1,0,58,0,29,0,5,493.55,47
"No System Name","com.evernote.edam.userstore","PublicUserInfo","PublicUserInfo",1,5,27,14,539.69,0.03,1,0,2,9,2,1,5.25,0,0,0,0,13,0,4,0,0,102.80,14
"No System Name","com.evernote.edam.type","Publishing","Publishing",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","Publishing","Publishing",4,9,75,22,2731.40,0.11,2,4,0,13,1,1,8.17,0,0,1,0,40,0,21,0,3,334.46,35
"No System Name","com.evernote.edam.type","QueryFormat","QueryFormat",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.edam.notestore","RelatedQuery","RelatedQuery",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","RelatedQuery","RelatedQuery",5,9,69,20,2783.32,0.10,2,5,0,14,1,1,9.33,0,0,1,0,41,0,16,0,4,298.21,28
"No System Name","com.evernote.edam.notestore","RelatedResult","RelatedResult",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","RelatedResult","RelatedResult",9,33,310,39,50610.66,0.55,7,13,0,30,1,1,30.89,4,0,2,4,171,0,28,0,8,1638.47,139
"No System Name","com.evernote.edam.notestore","RelatedResultSpec","RelatedResultSpec",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","RelatedResultSpec","RelatedResultSpec",1,7,62,19,2005.68,0.09,2,1,0,8,1,1,7.62,0,0,0,0,29,0,21,0,0,263.37,33
"No System Name","com.evernote.edam.type","ReminderEmailConfig","ReminderEmailConfig",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.edam.type","Resource","Resource",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","Resource","Resource",8,21,179,37,10160.95,0.31,4,10,0,29,1,1,10.90,0,0,1,0,100,0,49,0,7,932.49,79
"No System Name","com.evernote.edam.type","ResourceAttributes","ResourceAttributes",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","ResourceAttributes","ResourceAttributes",7,20,163,35,9165.84,0.28,3,8,0,27,1,1,10.96,0,0,1,0,89,0,48,0,6,836.07,74
"No System Name","com.evernote.edam.type","SavedSearch","SavedSearch",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","SavedSearch","SavedSearch",6,13,108,28,4984.27,0.17,3,7,0,19,1,1,9.60,0,0,1,0,60,0,29,0,5,519.19,48
"No System Name","com.evernote.edam.type","SavedSearchScope","SavedSearchScope",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","SavedSearchScope","SavedSearchScope",1,5,46,17,1281.98,0.06,2,1,0,6,1,1,6.82,0,0,0,0,21,0,15,0,0,188.02,25
"No System Name","com.evernote.edam.type","SharedNotebook","SharedNotebook",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","SharedNotebook","SharedNotebook",7,21,171,36,9850.92,0.29,3,8,0,28,1,1,11.14,0,0,1,0,93,0,51,0,6,884.06,78
