System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.sk89q.worldguard.bukkit.commands","MessageFutureCallback$Builder","Builder",1,5,28,13,666.08,0.03,2,0,1,6,2,1,6.43,0,0,0,0,13,0,6,0,0,103.61,15
"No System Name","com.sk89q.worldguard.bukkit.cause","Cause$Builder","Builder",1,2,18,16,370.29,0.02,1,1,0,3,1,1,5.14,0,0,0,0,10,0,2,0,0,72.00,8
"No System Name","com.sk89q.worldguard.bukkit.internal","BukkitBlacklist","BukkitBlacklist",1,3,18,13,285.46,0.02,2,0,0,4,2,1,4.29,0,0,0,0,8,0,3,0,0,66.61,10
"No System Name","com.sk89q.worldguard.bukkit","BukkitOfflinePlayer","BukkitOfflinePlayer",1,2,11,10,109.62,0.01,1,0,0,3,1,0,3.00,0,0,0,0,5,0,2,0,0,36.54,6
"No System Name","com.sk89q.worldguard.bukkit","BukkitPlayer","BukkitPlayer",1,2,14,11,124.54,0.02,2,0,1,3,2,1,2.57,0,0,0,0,5,0,2,0,0,48.43,9
"No System Name","com.sk89q.worldguard.bukkit","BukkitPlayer","BukkitPlayer",1,7,44,16,960.00,0.06,2,1,1,8,3,0,5.45,0,0,0,0,20,0,10,0,0,176.00,24
"No System Name","com.sk89q.worldguard.bukkit","BukkitUtil","BukkitUtil",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.bukkit","QueryCache$CacheKey","CacheKey",1,10,80,24,3484.57,0.12,1,5,0,11,1,1,9.50,0,0,0,1,42,0,20,0,0,366.80,38
"No System Name","com.sk89q.worldguard.session","SessionManager$CacheKey","CacheKey",1,3,23,16,591.43,0.03,2,2,0,4,1,1,6.43,0,0,0,0,13,0,4,0,0,92.00,10
"No System Name","com.sk89q.worldguard.bukkit.event.debug","CancelAttempt","CancelAttempt",1,5,34,16,1004.89,0.05,1,0,1,6,3,1,7.39,0,0,0,0,15,0,7,0,0,136.00,19
"No System Name","com.sk89q.worldguard.util.report","CancelReport","CancelReport",1,8,63,28,3233.51,0.10,4,1,1,9,3,1,10.68,0,0,0,0,30,0,12,0,0,302.86,33
"No System Name","com.sk89q.worldguard.bukkit.cause","Cause","Cause",1,4,27,16,756.00,0.04,2,0,1,5,2,1,7.00,0,0,0,0,13,0,5,0,0,108.00,14
"No System Name","com.sk89q.worldguard.bukkit.listener","ChestProtectionListener","ChestProtectionListener",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.managers.index","ChunkHashTable","ChunkHashTable",1,3,16,11,265.68,0.02,1,0,1,4,1,1,4.80,0,0,0,0,8,0,3,0,0,55.35,8
"No System Name","com.sk89q.worldguard.protection.managers.index","ChunkHashTable$ChunkState","ChunkState",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.sk89q.worldguard.util.logging","ClassSourceValidator","ClassSourceValidator",1,4,32,16,576.00,0.04,1,3,1,5,1,1,4.50,0,0,0,0,17,0,5,0,0,128.00,15
"No System Name","com.sk89q.worldguard.util.io","Closer","Closer",1,2,15,12,215.10,0.02,1,0,1,3,1,1,4.00,0,0,0,0,7,0,2,0,0,53.77,8
"No System Name","com.sk89q.worldguard.util.command","CommandFilter","CommandFilter",1,3,30,16,1157.14,0.04,2,0,0,4,2,1,9.64,0,0,0,0,15,0,4,0,0,120.00,15
"No System Name","com.sk89q.worldguard.protection.flags","CommandStringFlag","CommandStringFlag",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.flags","CommandStringFlag","CommandStringFlag",1,2,13,10,115.16,0.01,2,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","com.sk89q.worldguard.bukkit.commands","CommandUtils","CommandUtils",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.bukkit.util.report","ConfigReport","ConfigReport",5,30,247,64,26766.73,0.49,11,18,1,35,1,1,18.06,1,0,3,8,129,0,35,0,7,1482.00,118
"No System Name","com.sk89q.worldguard.bukkit","ConfigurationManager","ConfigurationManager",1,3,24,17,606.99,0.03,2,1,0,4,1,1,6.19,0,0,0,0,13,0,3,0,0,98.10,11
"No System Name","com.sk89q.worldguard.blacklist.logger","ConsoleHandler","ConsoleHandler",1,3,20,12,394.35,0.02,2,0,0,4,2,1,5.50,0,0,0,0,9,0,4,0,0,71.70,11
"No System Name","com.sk89q.worldguard.protection.association","ConstantAssociation","ConstantAssociation",1,2,11,9,130.76,0.01,1,0,0,3,1,0,3.75,0,0,0,0,5,0,2,0,0,34.87,6
"No System Name","com.sk89q.worldguard.bukkit.event.entity","DamageEntityEvent","DamageEntityEvent",1,2,20,15,253.95,0.03,3,0,1,3,3,1,3.25,0,0,0,0,7,0,3,0,0,78.14,13
"No System Name","com.sk89q.worldguard.protection.managers.storage.sql","DataLoader","DataLoader",1,5,37,18,732.86,0.05,2,2,1,6,2,0,4.75,0,0,0,0,18,0,7,0,0,154.29,19
"No System Name","com.sk89q.worldguard.util.report","DataReport","DataReport",1,3,17,12,274.25,0.02,1,0,1,4,1,1,4.50,0,0,0,0,8,0,3,0,0,60.94,9
"No System Name","com.sk89q.worldguard.util.sql","DataSourceConfig","DataSourceConfig",1,9,52,14,2153.06,0.07,1,0,1,10,4,1,10.88,0,0,0,0,23,0,12,0,0,197.98,29
"No System Name","com.sk89q.worldguard.protection.managers.storage.sql","DataUpdater","DataUpdater",1,6,47,21,1238.63,0.07,3,3,1,7,2,0,6.00,0,0,0,0,23,0,10,0,0,206.44,24
"No System Name","com.sk89q.worldguard.blacklist.target","DataValueRangeMatcher","DataValueRangeMatcher",1,4,27,16,756.00,0.04,2,0,1,5,2,1,7.00,0,0,0,0,13,0,5,0,0,108.00,14
"No System Name","com.sk89q.worldguard.blacklist.logger","DatabaseHandler","DatabaseHandler",1,7,52,16,1934.40,0.07,2,0,0,8,6,1,9.30,0,0,0,0,21,0,12,0,0,208.00,31
"No System Name","com.sk89q.worldguard.bukkit.commands","DebuggingCommands","DebuggingCommands",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.sk89q.worldguard.bukkit.listener","DebuggingListener","DebuggingListener",1,4,22,14,376.93,0.03,2,0,1,5,2,1,4.50,0,0,0,0,10,0,4,0,0,83.76,12
"No System Name","com.sk89q.worldguard.domains","DefaultDomain","DefaultDomain",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.domains","DefaultDomain","DefaultDomain",1,3,20,11,259.46,0.02,1,2,2,4,1,1,3.75,0,0,0,0,11,0,2,0,0,69.19,9
"No System Name","com.sk89q.worldguard.protection.flags","DefaultFlag","DefaultFlag",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.bukkit.protection","DelayedRegionOverlapAssociation","DelayedRegionOverlapAssociation",1,5,28,13,666.08,0.03,2,0,1,6,2,1,6.43,0,0,0,0,13,0,6,0,0,103.61,15
"No System Name","com.sk89q.worldguard.bukkit.event","DelegateEvent","DelegateEvent",1,4,26,15,622.17,0.03,2,0,1,5,2,1,6.12,0,0,0,0,12,0,5,0,0,101.58,14
"No System Name","com.sk89q.worldguard.bukkit.event","DelegateEvents","DelegateEvents",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.blacklist.action","DenyAction","DenyAction",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.bukkit.event.entity","DestroyEntityEvent","DestroyEntityEvent",1,2,20,15,253.95,0.03,3,0,1,3,3,1,3.25,0,0,0,0,7,0,3,0,0,78.14,13
"No System Name","com.sk89q.worldguard.protection.managers.storage","DifferenceSaveException","DifferenceSaveException",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.protection.managers.storage","DifferenceSaveException","DifferenceSaveException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.managers.storage","DifferenceSaveException","DifferenceSaveException",1,2,13,10,115.16,0.01,2,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","com.sk89q.worldguard.protection.managers.storage","DifferenceSaveException","DifferenceSaveException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.managers.storage.file","DirectoryYamlDriver","DirectoryYamlDriver",1,5,28,13,666.08,0.03,2,0,1,6,2,1,6.43,0,0,0,0,13,0,6,0,0,103.61,15
"No System Name","com.sk89q.worldguard.protection.events","DisallowedPVPEvent","DisallowedPVPEvent",1,4,30,14,913.77,0.04,2,0,0,5,3,1,8.00,0,0,0,0,14,0,6,0,0,114.22,16
"No System Name","com.sk89q.worldguard.domains","DomainCollection","DomainCollection",1,2,13,12,186.42,0.02,1,1,0,3,0,1,4.00,0,0,0,0,9,0,1,0,0,46.60,4
"No System Name","com.sk89q.worldguard.protection.util","DomainInputResolver","DomainInputResolver",1,5,29,14,828.10,0.04,2,0,1,6,2,1,7.50,0,0,0,0,14,0,6,0,0,110.41,15
"No System Name","com.sk89q.worldguard.protection.managers.storage.sql","DomainTableCache","DomainTableCache",1,4,31,16,479.09,0.04,5,3,0,5,2,0,3.86,0,0,0,0,14,0,9,0,0,124.00,17
"No System Name","com.sk89q.worldguard.protection.flags","DoubleFlag","DoubleFlag",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
