System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.apache.commons.io.input","CountingInputStream","CountingInputStream",1,2,11,9,108.97,0.01,1,0,0,3,1,1,3.12,0,0,0,0,6,0,1,0,0,34.87,5
"No System Name","org.apache.commons.io.output","CountingOutputStream","CountingOutputStream",1,2,11,9,108.97,0.01,1,0,0,3,1,1,3.12,0,0,0,0,6,0,1,0,0,34.87,5
"No System Name","org.apache.commons.io.input","ProxyReaderTest$CustomNullReader","CustomNullReader",1,2,10,8,75.00,0.01,0,0,0,3,1,0,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","org.apache.commons.io.serialization","ValidatingObjectInputStreamTest$CustomVOIS","CustomVOIS",1,2,11,9,83.69,0.01,1,0,0,3,1,0,2.40,0,0,0,0,5,0,1,0,0,34.87,6
"No System Name","org.apache.commons.io.output","DeferredFileOutputStream","DeferredFileOutputStream",2,4,34,20,1082.05,0.05,2,1,1,7,3,1,7.36,0,0,1,0,16,0,4,0,1,146.95,18
"No System Name","org.apache.commons.io.output","DeferredFileOutputStream","DeferredFileOutputStream",3,6,52,25,2092.83,0.08,3,1,1,11,5,1,8.67,0,0,1,0,26,0,7,0,2,241.48,26
"No System Name","org.apache.commons.io.output","DeferredFileOutputStream","DeferredFileOutputStream",1,2,21,15,355.53,0.03,2,0,1,4,2,1,4.33,0,0,0,0,8,0,3,0,0,82.04,13
"No System Name","org.apache.commons.io.output","DeferredFileOutputStream","DeferredFileOutputStream",1,8,61,23,2354.66,0.09,3,1,0,10,6,1,8.53,0,0,0,0,29,0,13,0,0,275.94,32
"No System Name","org.apache.commons.io.output","DeferredFileOutputStream","DeferredFileOutputStream",2,4,39,24,1341.10,0.06,4,1,1,7,4,1,7.50,0,0,1,0,18,0,6,0,1,178.81,21
"No System Name","org.apache.commons.io.output","DeferredFileOutputStreamTest","DeferredFileOutputStreamTest",1,2,13,11,236.11,0.01,0,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","org.apache.commons.io.filefilter","DelegateFileFilter","DelegateFileFilter",2,5,31,20,1064.39,0.04,2,1,0,7,1,1,7.94,0,0,1,0,18,0,4,0,1,133.98,13
"No System Name","org.apache.commons.io.filefilter","DelegateFileFilter","DelegateFileFilter",2,5,31,20,1064.39,0.04,2,1,0,7,1,1,7.94,0,0,1,0,18,0,4,0,1,133.98,13
"No System Name","org.apache.commons.io.filefilter","DirectoryFileFilter","DirectoryFileFilter",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.apache.commons.io","DirectoryWalker","DirectoryWalker",1,2,10,9,79.25,0.01,0,0,1,3,0,1,2.50,0,0,0,0,6,0,0,0,0,31.70,4
"No System Name","org.apache.commons.io","DirectoryWalker","DirectoryWalker",1,3,22,13,522.38,0.03,1,0,0,4,2,1,6.42,0,0,0,0,11,0,4,0,0,81.41,11
"No System Name","org.apache.commons.io","DirectoryWalker","DirectoryWalker",2,9,86,29,8383.58,0.14,3,3,0,12,3,1,20.07,0,0,1,0,43,0,20,0,2,417.79,43
"No System Name","org.apache.commons.io.filefilter","EmptyFileFilter","EmptyFileFilter",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.apache.commons.io","EndianUtils","EndianUtils",1,2,7,6,36.19,0.01,0,0,0,3,0,1,2.00,0,0,0,0,5,0,0,0,0,18.09,2
"No System Name","org.apache.commons.io.comparator","ExtensionFileComparator","ExtensionFileComparator",1,2,12,11,124.54,0.01,1,0,0,3,0,1,3.00,0,0,0,0,7,0,2,0,0,41.51,5
"No System Name","org.apache.commons.io.comparator","ExtensionFileComparator","ExtensionFileComparator",1,2,21,16,700.00,0.03,1,0,0,3,1,1,8.33,0,0,0,0,11,0,4,0,0,84.00,10
"No System Name","org.apache.commons.io.filefilter","FalseFileFilter","FalseFileFilter",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.apache.commons.io.monitor","FileAlterationMonitor","FileAlterationMonitor",1,2,8,7,44.92,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,22.46,3
"No System Name","org.apache.commons.io.monitor","FileAlterationMonitor","FileAlterationMonitor",1,2,13,11,236.11,0.01,0,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","org.apache.commons.io.monitor","FileAlterationMonitor","FileAlterationMonitor",3,8,33,19,1090.30,0.05,1,0,2,8,2,1,7.78,1,0,2,0,19,0,4,0,2,140.18,14
"No System Name","org.apache.commons.io.monitor","FileAlterationMonitorTestCase","FileAlterationMonitorTestCase",1,3,15,12,161.32,0.02,1,1,0,4,0,1,3.00,0,0,0,0,9,0,2,0,0,53.77,6
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",5,12,103,34,7136.50,0.17,5,3,0,18,3,1,13.62,0,0,1,0,59,0,17,0,5,524.01,44
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",1,2,12,10,119.59,0.01,1,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",1,2,16,12,184.37,0.02,2,0,1,3,2,1,3.21,0,0,0,0,7,0,2,0,0,57.36,9
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",1,2,22,15,343.81,0.03,4,1,1,3,3,1,4.00,0,0,0,0,10,0,3,0,0,85.95,12
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",1,2,14,11,174.36,0.02,2,1,1,3,1,1,3.60,0,0,0,0,8,0,1,0,0,48.43,6
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",1,2,18,13,256.92,0.02,3,1,1,3,2,1,3.86,0,0,0,0,9,0,2,0,0,66.61,9
"No System Name","org.apache.commons.io.monitor","FileAlterationObserver","FileAlterationObserver",1,2,22,15,343.81,0.03,4,1,1,4,3,1,4.00,0,0,0,0,10,0,3,0,0,85.95,12
"No System Name","org.apache.commons.io.monitor","FileAlterationObserverTestCase","FileAlterationObserverTestCase",1,3,15,12,161.32,0.02,1,1,0,4,0,1,3.00,0,0,0,0,9,0,2,0,0,53.77,6
"No System Name","org.apache.commons.io","FileCleaningTrackerTestCase","FileCleaningTrackerTestCase",1,2,13,11,134.92,0.01,1,1,1,3,0,1,3.00,0,0,0,0,8,0,1,0,0,44.97,5
"No System Name","org.apache.commons.io","FileDeleteStrategy","FileDeleteStrategy",1,2,13,11,236.11,0.01,1,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","org.apache.commons.io.monitor","FileEntry","FileEntry",1,2,12,10,119.59,0.01,1,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.io.monitor","FileEntry","FileEntry",2,6,43,21,1973.69,0.06,3,2,0,8,2,1,10.45,0,0,1,0,24,0,7,0,1,188.87,19
